ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,7,47914,1,89,1,1,202407479141008912,1,2,3,1,2,,1,23,2,2,18.0,4.0,2001,1,,,,,,,,,,,,,,,,220.0,8423.0,3,1,,,5,1000.0,0.0,8.0,16.0,8.0,16.0,8.0,16.0,72.0,,72.0,1,,2,,2,2,4,3100,15.0,,,,,,,,,,,,,,1,4,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,6,5,,2,2,2,2,2,2,10,7,1,3100.0,450,,,,,,,92,3550.0,3550.0,3642,1,816.521058177066
2024,7,1794302,1,51,1,1,20240417943021005111,1,1,1,1,2,,1,45,1,1,26.0,10.0,1978,1,,,,,,,,,,,,,,,,7127.0,4322.0,2,,3,2,1,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,20.0,,20.0,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1100,,,,,,,1100.0,1100.0,1100,1,389.184090271886
2024,7,1794302,1,51,1,1,20240417943021005112,1,2,2,1,2,,2,44,2,2,22.0,12.0,1979,1,,,,,,,,,,,,,,,,9533.0,4799.0,2,,3,2,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,,14.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,100,,,,,,,100.0,100.0,100,1,433.698309568466
2024,7,1794302,1,52,1,1,20240417943021005211,1,1,1,1,2,,1,70,1,1,15.0,10.0,1953,1,,,,,,,,,,,,,,,,7128.0,4330.0,3,5,3,2,1,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.0,,12.0,1,,1,1,1,1,2,80,,,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,346.0,,,,,,,,,346.0,346.0,346,1,389.184090271886
2024,7,1794302,1,53,1,1,20240417943021005311,1,1,1,1,2,,2,38,1,1,15.0,11.0,1985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,433.698309568466
2024,7,1794302,1,53,1,1,20240417943021005312,1,2,2,1,2,,1,32,2,2,6.0,4.0,1992,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,4,1,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,435.881237490519
2024,7,1794302,1,54,1,1,20240417943021005411,1,1,1,1,2,,1,22,1,1,27.0,1.0,2002,1,,,,,,,,,,,,,,,,5230.0,5610.0,3,5,2,1,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.0,,56.0,1,,2,,2,2,4,1800,12.0,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,7,1,1800.0,360,,,,,,,,2160.0,2160.0,2160,1,395.19317632565
2024,7,18306,1,81,1,1,202304183061008111,1,1,1,1,2,,2,37,1,1,27.0,4.0,1987,1,,,,,,,,,,,,,,,,9533.0,4789.0,2,,3,2,1,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,18.0,,18.0,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,,,411,,,,,,,411.0,411.0,411,1,514.646278138926
2024,7,18306,1,82,1,1,202304183061008211,1,1,1,1,2,,1,57,1,1,13.0,11.0,1966,1,,,,,,,,,,,,,,,,7126.0,2511.0,3,5,3,2,1,3.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,16.0,,16.0,1,,1,1,1,1,2,80,24.0,,,,,,,,,,,,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,346.0,104,,,,,,,,450.0,450.0,450,1,461.823666706477
2024,7,18306,1,82,1,1,202304183061008212,1,2,2,1,2,,2,59,2,2,22.0,9.0,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,405.399231957254
