anio,mes,conglomerado,muestra,selviv,hogar,region,llave_panel,estrato,c201,c203,c204,c205,c206,c207,c208,nroinf,c301_dia,c301_mes,c301_anio,c303,c304,c305,c306_1,c306_2,c306_3,c306_4,c306_5,c306_6,c306_7,c306_8,c306_9,c306_10,c306_10a,c306_11,c300n,c306a,c308_cod,c309_cod,c310,c311,c312,c313,c317,c317a,c318_1,c318_2,c318_3,c318_4,c318_5,c318_6,c318_7,c318_t,c328_t,whorat,c330,c331,c333,c334,p209h,c335,c338,c339_1,c341_t,c342,c344,c345_1,c347_t,c348,c350,c352,c353,c354,c355,c356,c357_i,c358,c359,seguro1,c361_1,c362_1,c361_2,c362_2,c361_3,c362_3,c361_4,c362_4,c361_5,c362_5,c361_6,c362_6,c361_7,c362_7,c361_8,c362_8,c364_1,c365_1,c364_2,c365_2,c364_3,c365_3,c364_4,c365_4,c366,c366_1,c366_2,c375_1,c375_2,c375_3,c375_4,c375_5,c375_6,c376,c377,ocup300,i339_1,d341_t,i342,d344,i345_1,i348,d347_t,d350,d351_t,ingtot,ingtotp,ingtrabw,resident,factor_expansion,trimestre,fa_amj24,fa_efm24,fa_jas24,fa_efm25,fa_son24,grupo_edad,tiene_seguro,nivel_educativo_agrupado
2025,5,26398,1,86,1,1,202502263981008611,1,1,1,1,2, ,1,41.0,1,16.0,7.0,1983.0,1,,, , , , , , , , , , , , ,1, ,1221.0,1101.0,3,5,1, ,3,90.0,0.0,8.0,8.0,8.0,8.0,8.0,5.0,45.0,,45.0,1,,2, ,2,2,4,15000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,15000.0, ,,,,,,,3750,15000.0,15000.0,18750.0,1,996.042935994006,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,5,25636,1,42,1,1,202502256361004211,1,1,1,1,2, ,1,45.0,1,26.0,1.0,1980.0,1,,, , , , , , , , , , , , ,1, ,2114.0,729.0,3,5,1, ,4,500.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0,45.0,,45.0,1,,2, ,2,2,4,17000.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,17000.0, ,,,,,,,1416,17000.0,17000.0,18416.0,1,814.428779823916,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,5,2527102,1,19,1,1,20250525271021001911,1,1,1,1,2, ,1,65.0,2,19.0,6.0,1959.0,1,,, , , , , , , , , , , , ,1, ,4416.0,729.0,3,5,1, ,3,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,,70.0,1,,2, ,2,2,4,13500.0,630.0,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,13500.0,1229,,,,,,,3375,14729.0,14729.0,18104.0,1,1382.31121005008,2025_MarAbrMay,,,,,,60+,1,Superior Univ.
2025,5,2578501,1,22,1,1,20240825785011002212,1,2,2,1,2, ,1,53.0,2,22.0,5.0,1971.0,1,,, , , , , , , , , , , , ,2, ,2611.0,8413.0,3,2, , ,5,9998.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,18000.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1,18000.0, ,,,,,,,50,18000.0,18000.0,18050.0,1,1080.46782788688,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,4,24790,1,56,1,1,202501247901005611,1,1,1,1,2, ,1,36.0,1,4.0,10.0,1988.0,1,,, , , , , , , , , , , , ,1, ,2142.0,4100.0,1, ,1, ,1,20.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,50.0,,50.0,1,,2, ,2,2, ,,,18000.0, ,, ,, , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,18000.0,,,,,, ,18000.0,18000.0,18000.0,1,1076.6148281082,2025_MarAbrMay,,,,,,25-39,1,Superior Univ.
2025,5,2527102,1,17,1,1,20250525271021001713,1,3,3,1,2, ,1,35.0,3,27.0,2.0,1990.0,1,,, , , , , , , , , , , , ,3, ,2152.0,1074.0,3,5,1, ,4,400.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,14000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,14000.0, ,,,,,,,3501,14000.0,14000.0,17501.0,1,1682.49468848927,2025_MarAbrMay,,,,,,25-39,1,Superior Univ.
2025,5,29415,1,143,1,1,202505294151014311,1,1,1,1,2, ,1,37.0,1,16.0,12.0,1987.0,1,,, , , , , , , , , , , , ,1, ,2142.0,7110.0,2, ,1, ,1,1.0,0.0,1.0,2.0,2.0,4.0,2.0,3.0,14.0,20.0,60.0,2,60.0,1,1,1,2, ,,,13000.0, ,, ,4500.0, , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,, ,13000.0,,,4500.0,,, ,17500.0,13000.0,17500.0,1,1169.08892990513,2025_MarAbrMay,,,,,,25-39,1,Superior Univ.
2025,5,26700,1,59,1,1,202505267001005911,1,1,1,1,2, ,1,48.0,1,14.0,1.0,1977.0,1,,, , , , , , , , , , , , ,1, ,3513.0,6209.0,3,5,1, ,5,1300.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0,45.0,10.0,55.0,1,,2, ,2,2,4,11000.0,,, ,, ,4000.0, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,1, ,2,2,2,2,2,2,10,7,1,11000.0, ,,,,4000.0,,,2499,15000.0,11000.0,17499.0,1,1405.85064031963,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,5,19968,1,16,1,1,202505199681001611,1,1,1,1,2, ,1,42.0,1,29.0,11.0,1982.0,1,,, , , , , , , , , , , , ,1, ,4312.0,6419.0,3,5,1, ,5,3000.0,2.0,10.0,10.0,10.0,10.0,10.0,0.0,52.0,,52.0,1,,2, ,2,2,4,13000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,4,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,13000.0, ,,,,,,,3712,13000.0,13000.0,16712.0,1,758.755473643204,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,4,2657901,1,56,1,1,20240426579011005611,1,1,1,1,2, ,2,52.0,1,4.0,7.0,1972.0,1,,, , , , , , , , , , , , ,1, ,2611.0,1030.0,3,5,1, ,5,505.0,0.0,10.0,9.0,10.0,9.0,10.0,0.0,48.0,,48.0,1,,2, ,2,2,4,13200.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,13200.0, ,,,,,,,3249,13200.0,13200.0,16449.0,1,678.602403965282,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,3,49915,1,152,1,1,202312499151015211,1,1,1,1,2, ,1,44.0,2,9.0,6.0,1980.0,1,,, , , , , , , , , , , , ,1, ,2144.0,2410.0,3,5,1, ,4,400.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,12000.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,12000.0, ,,,,,,,4000,12000.0,12000.0,16000.0,1,1962.12370348928,2025_MarAbrMay,,,,,,40-59,1,Superior Univ.
2025,3,27224,1,53,1,1,202503272241005311, ,1,1,1,2, ,1,57.0,1,12.0,6.0,1967.0,1,,, , , , , , , , , , , , ,1, ,2631.0,4220.0,3,5,1, ,5,2000.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,12000.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,6,1,12000.0, ,,,,,,,4000,12000.0,12000.0,16000.0,1,910.802996533465,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,5,2304701,1,119,1,1,20240523047011011911,1,1,1,1,2, ,1,54.0,1,3.0,4.0,1971.0,1,,, , , , , , , , , , , , ,1, ,3314.0,4530.0,1, ,1, ,1,3.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,55.0,12.0,67.0,1,,1,1,1,2, ,,,10000.0, ,, ,6000.0, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,, ,10000.0,,,6000.0,,, ,16000.0,10000.0,16000.0,1,660.962140545659,2025_MarAbrMay,,,,,,40-59,1,Secundaria
2025,3,26444,1,63,1,1,202412264441006311,1,1,1,1,2, ,1,56.0,1,21.0,9.0,1968.0,1,,, , , , , , , , , , , , ,1, ,2212.0,8620.0,3,5,1, ,2,30.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,65.0,,65.0,1,,1,1,1,2,4,12000.0,,, ,, ,, , , , , , , , ,2,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,6,1,12000.0, ,,,,,,,3833,12000.0,12000.0,15833.0,1,1637.53793544195,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,3,25524,1,7,1,1,202412255241000711,1,1,1,1,2, ,2,51.0,1,8.0,1.0,1974.0,1,,, , , , , , , , , , , , ,1, ,1114.0,8412.0,3,2, , ,5,1000.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2, ,2,2,4,15600.0,,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,15600.0, ,,,,,,,50,15600.0,15600.0,15650.0,1,914.821659625603,2025_MarAbrMay,,,,,,40-59,1,Postgrado
2025,5,19839,1,110,1,1,202402198391011011,1,1,1,1,2, ,1,29.0,1,20.0,2.0,1996.0,1,,, , , , , , , , , , , , ,1, ,9629.0,7490.0,2, ,2,2,1,1.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,30.0,18.0,53.0,2,53.0,1,1,1,2, ,,,, ,3100.0, ,, , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1,, ,12500.0,,3100.0,,,, ,15600.0,12500.0,15600.0,1,1283.48820888282,2025_MarAbrMay,,,,,,25-39,1,Superior Univ.
2025,4,29453,1,111,1,1,202404294531011111,1,1,1,1,2, ,1,42.0,1,10.0,6.0,1982.0,1,,, , , , , , , , , , , , ,1, ,5211.0,4641.0,2, ,1, ,1,2.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,72.0,,72.0,1,,1,1,1,2, ,,,15000.0,250,, ,, , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,2,2,1,, ,15000.0,250.0,,,,, ,15250.0,15250.0,15250.0,1,1036.63654449463,2025_MarAbrMay,,,,,,40-59,0,Secundaria
2025,4,28454,1,71,1,1,202504284541007112,1,2,2,1,2, ,1,62.0,2,21.0,7.0,1962.0,1,,, , , , , , , , , , , , ,2, ,2212.0,8610.0,3,2, , ,5,998.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,36.0,10.0,46.0,1,,2, ,2,2,4,13000.0,,, ,2000.0, ,, , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,7, ,2,2,2,2,2,2,10,7,1,13000.0, ,,,2000.0,,,,50,15000.0,13000.0,15050.0,1,956.248468398494,2025_MarAbrMay,,,,,,60+,1,Superior Univ.
