ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,9,24443,1,87,1,1,202409244431008711,1,1,1,1,2,,2,65,1,1,21.0,8.0,1959.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,7,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,1,3,,,,,,,,,,,,,1,825.9007266388
2024,9,24443,1,87,1,1,202409244431008712,1,2,2,1,2,,1,65,2,2,21.0,4.0,1959.0,1,,,,,,,,,,,,,,,,8322.0,4922.0,2,,3,2,1,2.0,0.0,6.0,6.0,12.0,5.0,8.0,5.0,42.0,,42.0,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,6,5,,2,2,2,2,2,2,10,7,1,,,2425,,,,,,,2425.0,2425.0,2425,1,898.166120285048
2024,9,24443,1,88,1,1,202409244431008811,1,1,1,1,2,,2,36,1,1,7.0,1.0,1988.0,1,,,,,,,,,,,,,,,,7354.0,1410.0,3,5,1,,5,1500.0,0.0,11.0,11.0,11.0,11.0,11.0,8.0,63.0,,63.0,1,,2,,2,2,2,380,30.0,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1645.0,130,,,,,,,,1775.0,1775.0,1775,1,1011.14548705851
2024,9,24443,1,88,1,1,202409244431008812,1,2,2,1,2,,1,40,2,2,24.0,3.0,1984.0,1,,,,,,,,,,,,,,,,8332.0,4923.0,3,5,3,2,1,3.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,32.0,,32.0,1,,1,1,1,2,3,700,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,1,1400.0,,,,,,,,58,1400.0,1400.0,1458,1,1100.59463262989
2024,9,24443,1,88,1,1,202409244431008813,1,3,3,1,2,,1,14,3,3,2.0,4.0,2010.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,940.310984800655
2024,9,24443,1,88,1,1,202409244431008814,1,4,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,9,24443,1,88,1,1,202409244431008815,1,5,3,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,9,24443,1,89,1,1,202409244431008911,1,1,1,1,2,,1,52,1,1,4.0,8.0,1972.0,1,,,,,,,,,,,,,,,,7111.0,4100.0,2,,3,2,1,1.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,7.0,47.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,2794,,,,,,,2794.0,2794.0,2794,1,898.166120285048
2024,9,24443,1,89,1,1,202409244431008912,1,2,2,1,2,,2,54,2,2,17.0,4.0,1970.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,9622.0,5221.0,2,,2,2,1,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,63.0,,63.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,4796,,,,,,,4796.0,4796.0,4796,1,825.9007266388
2024,9,24443,1,90,1,1,202409244431009011,1,1,1,1,2,,1,89,1,1,20.0,5.0,1935.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,4,5,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,898.166120285048
2024,9,24443,1,90,1,1,202409244431009012,1,2,2,1,2,,2,85,2,2,28.0,10.0,1938.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,6,5,,1,1,2,2,2,2,10,9,4,,,,,,,,,,,,,1,825.9007266388
2024,9,47703,1,136,1,1,202409477031013611,1,1,1,1,2,,2,49,1,1,16.0,4.0,1975.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,7,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,1103.31226750694
