ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_efm25
2025,01,20776,1,0076,1,1,202410207761007612,1,2,3,1,2, ,2,36,2,12,10,1988,1, , , , , , , , , , , , , , ,2, ,4110,2410,3,5,1, ,4,110,0,8,8,0,8,8,8,40, ,45,2,45,2, ,2,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000, , , , , , , ,1041,4000,4000,5041,1,935.918969079451
2025,01,20776,1,0077,1,1,202410207761007711,1,1,1,1,2, ,2,58,1,30,12,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,746.977360749385
2025,01,20776,1,0077,1,1,202410207761007712,1,2,2,1,2, ,1,61,2,25,5,1963,2,1, , , , , , , , , , , , , ,2, ,8331,4921,3,5,1, ,5,800,0,0,0,0,0,0,0,0, ,48,2,48,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,641,2500,2500,3141,1,828.524468545281
2025,01,20776,1,0077,1,1,202410207761007713,1,3,6,1,2, ,2,82,1,26,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,3,4, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,746.977360749385
2025,01,47318,1,0021,1,1,202310473181002111,1,3,7,1,2, ,1,26,3,11,3,1998,1, , , , , , , , , , , , , , ,3, ,5131,5610,3,5,1, ,1,9,8,8,8,0,8,8,8,48, ,48,1, ,1,1,1,2,1,30,10, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,1,1,900,300, , , , , , , ,1200,1200,1200,1,1932.72407642901
2025,01,47318,1,0022,1,1,202310473181002212,1,2,2,1,2, ,2,33,2,11,9,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,1821.41265375529
2025,01,49905,1,0017,1,1,202501499051001711,1,1,1,1,2, ,1,32,1,26,1,1992,1, , , , , , , , , , , , , , ,1, ,3411,8423,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,1,1,1,2,4,4500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1,4500, , , , , , , ,1125,4500,4500,5625,1,1004.24539540349
2025,01,49905,1,0017,1,1,202501499051001712,1,2,2,1,2, ,2,31,2,13,11,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,946.407866995176
2025,01,21380,1,0059,1,1,202310213801005911,1,1,1,1,2, ,1,37,1,10,9,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,12, ,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,1899.87311627269
2025,01,21380,1,0059,1,1,202310213801005912,1,2,2,1,2, ,2,40,2,29,4,1984,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1790.45367971112
2025,01,21380,1,0059,1,1,202310213801005913,1,3,3,1,2, ,1,20,1,13,6,2004,1, , , , , , , , , , , , , , ,3, ,9333,5223,3,5,1, ,5,3000,8,0,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1700,12, , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1700,360, , , , , , ,426,2060,2060,2486,1,1520.69584685778
2025,01,21380,1,0061,1,1,202310213801006111,1,1,1,1,2, ,1,41,1,16,8,1983,1, , , , , , , , , , , , , , ,1, ,8332,4923,3,5,2,2,1,3,0,12,12,12,12,12,8,68, ,68,1, ,2, ,2,1,2,600, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,1,1,2598, , , , , , , , ,2598,2598,2598,1,1899.87311627269
2025,01,21380,1,0061,1,1,202310213801006112,1,2,2,1,2, ,2,41,2,17,7,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1790.45367971112
2025,01,21380,1,0061,1,1,202310213801006113,1,3,3,1,2, ,2,19,3,29,9,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1698.36518213642
2025,01,47864,1,0034,1,1,202310478641003411,1,1,1,1,2, ,2,44,1,20,3,1980,1, , , , , , , , , , , , , , ,1, ,2240,7500,3,5,1, ,1,3,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,208,2500,2500,2708,1,1910.0044497409
