ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas24
2024,07,2984503,1,0164,1,1,20240729845031016412,1,2,2,1,2, ,1,82,2,1,18,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,4,2, ,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1161.90456415819
2024,07,2984503,1,0177,1,1,20240729845031017711,1,1,1,1,2, ,1,71,1,1,24,5,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,12,6,4, , , , , , , , , , , , ,1,1161.90456415819
2024,07,2984503,1,0177,1,1,20240729845031017712,1,2,2,1,2, ,2,77,2,2,2,10,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1019.94603541341
2024,07,26312,1,0052,1,1,202407263121005211,1,1,1,1,2, ,1,76,1,1,18,12,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,1,3, , ,1,3,1,3,2, ,1,3,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,951.093280501373
2024,07,26312,1,0054,1,1,202407263121005411,1,1,1,1,2, ,2,32,1,1,10,6,1992,1, , , , , , , , , , , , , , , ,5111,5110,3,5,1, ,5,1000,8,0,8,8,8,8,8,48, ,48,1, ,1,2,2,2,4,3000, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1,3000, , , , , , , ,500,3000,3000,3500,1,1059.87772446506
2024,07,2645302,1,0127,1,1,20240726453021012711,1,1,1,1,2, ,1,46,1,1,22,2,1978,1, , , , , , , , , , , , , , , ,4110,7110,3,5,1, ,1,4,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , ,750,3000,3000,3750,1,1561.55989086221
2024,07,2645302,1,0127,1,1,20240726453021012712,1,2,2,1,2, ,2,38,2,2,9,9,1985,1, , , , , , , , , , , , , , , ,4417,6910,3,5,1, ,1,20,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1,1800, , , , , , , ,40,1800,1800,1840,1,1740.16847524197
2024,07,2645302,1,0127,1,1,20240726453021012713,1,3,11,1,2, ,1,19,3,3,12,10,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1585.67071141436
2024,07,22640,1,0086,1,1,202407226401008611,1,1,1,1,2, ,1,27,1,1,14,9,1996,1, , , , , , , , , , , , , , , ,3129,1313,3,5,1, ,2,30,0,9,8,9,8,8,6,48, ,48,1, ,1,1,1,2,3,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000, , , , , , , ,501,4000,4000,4501,1,1079.88245161325
2024,07,22640,1,0086,1,1,202407226401008612,1,2,7,1,2, ,1,23,2,2,25,5,2001,1, , , , , , , , , , , , , , , ,8154,1313,3,5,1, ,2,30,0,9,9,8,8,8,8,50, ,50,2,48,1,1,1,1,2,300, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1299, , , , , , , ,150,1299,1299,1449,1,979.079022919983
