ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_amj24
2024,04,18753,1,0007,1,1,202404187531000713,1,3,5,1,2, ,1,19,3,3,31,1,2005,1, , , , , , , , , , , , , , , ,9334,4921,3,5,3,2,1,2,0,16,16,16,0,0,16,64, ,64,1, ,2, ,2,2,2,180,60, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,779,260, , , , , , , ,1039,1039,1039,1,701.23630510417
2024,04,18753,1,0008,1,1,202404187531000811,1,1,1,1,2, ,1,54,1,2,13,5,1969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,1,13,5,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,743.900152643022
2024,04,18753,1,0008,1,1,202404187531000812,1,2,2,1,2, ,2,39,2,2,1,10,1984,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,5,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,3,2,2,2,2,2,2,10,9,2, , , , , , , , , , , , ,1,838.328997785567
2024,04,18753,1,0008,1,1,202404187531000813,1,3,3,1,2, ,1,19,3,3,24,9,2004,1, , , , , , , , , , , , , , , ,8331,4921,1, ,3,2,1,2,0,0,0,0,14,14,14,42, ,42,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,3587, , , , , , ,3587,3587,3587,1,701.23630510417
2024,04,18753,1,0008,1,1,202404187531000814,1,4,3,1,2, ,1,17,4,4,1,9,2006,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,5,0,0,0,0,0,7,7,14, ,14,1, ,2, ,2,1,2,100,30, , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,433,130, , , , , , , ,563,563,563,1,701.23630510417
2024,04,18753,1,0008,1,1,202404187531000815,1,5,3,1,2, ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,04,18753,1,0008,1,1,202404187531000816,1,6,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,04,18753,1,0009,1,1,202404187531000911,1,1,1,1,2, ,1,35,1,1,29,4,1988,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,8,8,8,8,8,5,45, ,45,1, ,1,1,1,1,2,350, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,1516, , , , , , , , ,1516,1516,1516,1,794.939128435762
2024,04,18753,1,0009,1,1,202404187531000912,1,2,6,1,2, ,2,76,2,2,4,4,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,632.130221188741
2024,04,18753,1,0010,1,1,202404187531001011,1,1,1,1,2, ,2,68,1,1,31,8,1955,1, , , , , , , , , , , , , , , ,5212,4721,2, ,3,2,1,1,11,11,11,11,11,11,11,77, ,77,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,1,7,1, , ,297,260, , , , , ,557,557,557,1,632.130221188741
2024,04,18753,1,0010,1,1,202404187531001012,1,2,5,1,2, ,1,18,2,2,22,7,2005,1, , , , , , , , , , , , , , , ,7231,4520,3,5,2,2,1,3,0,9,9,9,0,0,0,27, ,27,1, ,2, ,2,2,2,150,60, , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,650,260, , , , , , , ,910,910,910,1,701.23630510417
2024,04,27680,1,0028,1,1,202404276801002811,1,1,1,1,2, ,1,60,1,1,24,8,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,1,3, , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,878.950331545819
2024,04,27680,1,0028,1,1,202404276801002812,1,2,3,1,2, ,2,31,2,1,99,99,1993,1, , , , , , , , , , , , , , , ,5142,9602,3,5,2,1,1,4,0,10,10,10,6,0,10,46,12,58,1, ,2, ,2,2,2,450, , , , , ,700, , , , , , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1949, , , , ,700, , , ,2649,1949,2649,1,990.522112315916
2024,04,27680,1,0030,1,1,202404276801003011,1,1,1,1,2, ,2,87,1,1,3,5,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,2,2, ,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,746.889304323881
2024,04,2442801,1,0014,1,1,20240424428011001411,1,1,1,1,2, ,1,56,1,1,11,11,1967,1, , , , , , , , , , , , , , , ,7234,3312,2, ,2,2,1,1,3,3,3,3,0,0,0,12,33,45,1, ,1,1,1,2, , , , , , , ,1800, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,1515, , ,1800, , , ,3315,1515,3315,1,745.993542859633
2024,04,2442801,1,0014,1,1,20240424428011001412,1,2,3,1,2, ,2,35,2,2,26,3,1989,1, , , , , , , , , , , , , , , ,3257,8610,3,5,1, ,5,579,0,5,8,8,0,0,0,21, ,21,1, ,1,1,1,2,4,5000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,5000, , , , , , , ,1251,5000,5000,6251,1,840.688117777719
