ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_amj24
2024,04,17447,1,0132,1,1,202404174471013212,1,2,3,1,2, ,2,15,2,2,22,11,2008,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,9412,5630,4, ,3,2,1,2,2,2,2,2,2,2,0,12, , ,1, ,2, , , , , , , , , , , , ,2,4,2,2,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,444.311235609534
2024,04,17447,1,0132,1,1,202404174471013213,1,3,6,1,2, ,2,70,3,3,6,2,1954,1, , , , , , , , , , , , , , , ,5120,5630,2, ,3,2,1,2,7,7,7,7,7,7,0,42, ,42,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1, , ,333,13, , , , , ,346,346,346,1,378.394182247482
2024,04,17447,1,0132,1,1,202404174471013214,1,4,7,1,2, ,1,58,4,1,15,7,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,445.299845661211
2024,04,17447,1,0135,1,1,202404174471013511,1,1,1,1,2, ,2,88,1,1,30,9,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,4,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,4,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,378.394182247482
2024,04,25034,1,0050,1,1,202404250341005011,1,1,1,1,2, ,1,68,1,1,6,1,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,7, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,6,5, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,750.770075317899
2024,04,25034,1,0050,1,1,202404250341005012,1,2,2,1,2, ,2,54,2,2,10,1,1970,1, , , , , , , , , , , , , , , ,5112,8413,3,2, , ,5,9998,0,7,7,7,0,0,7,28, ,42,2,42,1,2,2,1,4,1550, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1550, , , , , , , ,50,1550,1550,1600,1,637.96794783067
2024,04,25034,1,0050,1,1,202404250341005013,1,3,3,1,2, ,1,29,3,3,21,4,1994,1, , , , , , , , , , , , , , , ,2511,8411,3,2, , ,5,9998,0,8,8,8,0,0,0,24, ,40,2,40,2, ,2,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000, , , , , , , ,50,4000,4000,4050,1,802.280396379026
2024,04,25034,1,0051,1,1,202404250341005111,1,1,1,1,2, ,1,38,1,1,12,9,1985,1, , , , , , , , , , , , , , , ,9541,4789,2, ,3,2,1,1,7,5,5,5,5,0,0,27, ,42,2,42,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,2700, , , , , , ,2700,2700,2700,1,802.280396379026
2024,04,18753,1,0007,1,1,202404187531000711,1,1,1,1,2, ,1,70,1,1,30,12,1953,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,8,8,8,0,0,0,24, ,48,2,48,1,1,1,1,2,180, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,1,779, , , , , , , , ,779,779,779,1,743.900152643022
2024,04,18753,1,0007,1,1,202404187531000712,1,2,2,1,2, ,2,67,2,2,10,4,1956,1, , , , , , , , , , , , , , , ,5212,4711,2, ,3,2,1,1,11,11,11,11,11,11,11,77, ,77,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,1,1,1, , ,380,65, , , , , ,445,445,445,1,632.130221188741
