ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_son24
2024,09,18134,1,0071,1,1,202409181341007111,1,1,1,1,2, ,1,86,1,1,24,12,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,5,3, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,354.423324384035
2024,09,18134,1,0071,1,1,202409181341007112,1,2,2,1,2, ,2,86,2,2,7,6,1938,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,1, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,325.906838986105
2024,09,18134,1,0071,1,1,202409181341007113,1,3,3,1,2, ,1,52,3,3,20,9,1971,1, , , , , , , , , , , , , , , ,3115,4520,2, ,2,2,1,1,0,8,8,8,8,8,6,46, ,46,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,1600, , , , , , ,1600,1600,1600,1,354.423324384035
2024,09,18134,1,0072,1,1,202409181341007211,1,1,1,1,2, ,2,75,1,1,7,2,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,325.906838986105
2024,09,18134,1,0073,1,1,202409181341007311,1,1,1,1,2, ,1,43,1,1,16,12,1980,1, , , , , , , , , , , , , , , ,2330,8521,3,5,1, ,4,300,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,3,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,250,2500,2500,2750,1,434.303187000769
2024,09,18134,1,0073,1,1,202409181341007312,1,2,2,1,2, ,2,41,2,2,1,3,1983,1, , , , , , , , , , , , , , , ,2359,8549,3,5,1, ,5,600,0,3,3,3,3,3,3,18,30,48,1, ,1,2,2,2,4,1500, , , ,3100, , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1500, , , ,3100, , , ,250,4600,1500,4850,1,399.00585967934
2024,09,18134,1,0073,1,1,202409181341007313,1,3,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,18134,1,0073,1,1,202409181341007314,1,4,3,1,2, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,18134,1,0168,1,1,202409181341016811,1,1,1,1,2, ,1,48,1,1,99,99,1976,1, , , , , , , , , , , , , , , ,4417,1079,3,5,1, ,4,300,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2000, , , , , , , ,208,2000,2000,2208,1,354.423324384035
2024,09,18134,1,0168,1,1,202409181341016812,1,2,2,1,2, ,2,47,2,2,18,4,1977,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,3,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1300,20, , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1300,600, , , , , , ,84,1900,1900,1984,1,325.906838986105
