ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_efm24
2024,01,19959,1,0040,1,1,202301199591004012,1,2,2,1,2, ,2,44,2,2,22,4,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,843.141086124983
2024,01,19959,1,0040,1,1,202301199591004013,1,3,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,01,1809401,1,0054,1,1,20230118094011005411,1,1,1,1,2, ,1,71,1,1,9,2,1952,1, , , , , , , , , , , , , , , ,5213,4789,2, ,2,2,1,1,0,0,10,10,10,10,10,50, ,65,2,65,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,1,9,1, , ,1000,50, , , , , ,1050,1050,1050,1,356.522737167245
2024,01,1809401,1,0054,1,1,20230118094011005412,1,2,2,1,2, ,2,61,2,2,24,2,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,327.930078112521
2024,01,47147,1,0002,1,1,202301471471000211,1,1,1,1,2, ,2,64,1,1,10,1,1959,1, , , , , , , , , , , , , , , ,9521,4781,2, ,3,2,1,1,7,0,7,7,7,7,7,42, ,42,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,3,3, ,2,2,2,2,2,2,10,1,1, , ,856,50, , , , , ,906,906,906,1,627.80635407423
2024,01,47147,1,0002,1,1,202301471471000212,1,2,3,1,2, ,1,26,2,2,3,6,1997,2,1, , , , , , , , , , , , , , ,7513,1074,3,5,1, ,4,500,0,0,0,0,0,0,0,0, ,48,2,48,2, ,2,2,4,1400,9, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1400,270, , , , , , ,434,1670,1670,2104,1,841.216045726003
2024,01,2262301,1,0027,1,1,20230122623011002711,1,1,1,1,2, ,2,51,1,1,6,1,1973,1, , , , , , , , , , , , , , , ,5212,4761,2, ,2,1,1,2,5,0,6,6,6,6,0,29, ,60,2,60,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,1050,50, , , , , ,1100,1100,1100,1,594.052801681986
2024,01,2262301,1,0027,1,1,20230122623011002712,1,2,3,1,2, ,1,16,2,2,21,11,2007,1, , , , , , , , , , , , , , , ,5223,4761,4, ,2,1,1,2,3,0,0,2,2,2,0,9, , ,1, ,2, , , , , , , , , , , , ,2,4,2,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,700.195823201548
2024,01,25706,1,0044,1,1,202210257061004411,1,1,1,1,2, ,2,50,1,1,28,3,1973,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,498.453618043638
2024,01,25706,1,0044,1,1,202210257061004412,1,2,6,1,2, ,1,75,2,2,10,5,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,2,7, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,541.91445102775
2024,01,20263,1,0070,1,1,202401202631007011,1,1,1,1,2, ,1,55,1,1,4,2,1968,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,0,10,10,10,10,10,50, ,60,2,60,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1500, , , , , , ,1500,1500,1500,1,1827.45821705361
2024,01,2247202,1,0029,1,1,20221022472021002911,1,1,1,1,2, ,1,69,1,1,8,10,1954,1, , , , , , , , , , , , , , , ,5212,4773,2, ,3,2,1,1,0,0,0,0,0,8,8,16, ,48,2,48,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,1500, , , , , , ,1500,1500,1500,1,643.615840210324
2024,01,2247202,1,0029,1,1,20221022472021002912,1,2,2,1,2, ,2,65,2,2,6,3,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,591.998688306993
2024,01,2247202,1,0029,1,1,20221022472021002913,1,3,3,1,2, ,1,28,3,3,11,2,1995,1, , , , , , , , , , , , , , , ,4110,8530,3,5,1, ,2,30,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,5000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,5000, , , , , , , ,1251,5000,5000,6251,1,793.236309923851
2024,01,2247202,1,0029,1,1,20221022472021002914,1,4,3,1,2, ,1,24,4,4,22,11,1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,697.774688916043
